table_name,column_name,data_type,is_nullable,default_value,is_primary_key,is_foreign_key
ai_capture,id,uuid,NO,gen_random_uuid(),YES,NO
ai_capture,org_id,uuid,NO,,NO,YES
ai_capture,kind,text,NO,,NO,NO
ai_capture,input_text,text,YES,,NO,NO
ai_capture,file_object_id,uuid,YES,,NO,YES
ai_capture,provider,text,NO,,NO,NO
ai_capture,model,text,YES,,NO,NO
ai_capture,status,text,NO,'processing'::text,NO,NO
ai_capture,usage_tokens,integer,NO,0,NO,NO
ai_capture,created_by,uuid,YES,,NO,NO
ai_capture,created_at,timestamp with time zone,NO,now(),NO,NO
ai_capture,updated_at,timestamp with time zone,NO,now(),NO,NO
ai_proposal,id,uuid,NO,gen_random_uuid(),YES,NO
ai_proposal,org_id,uuid,NO,,NO,YES
ai_proposal,capture_id,uuid,NO,,NO,YES
ai_proposal,target_type,text,NO,,NO,NO
ai_proposal,proposed_json,jsonb,NO,'{}'::jsonb,NO,NO
ai_proposal,confidence,numeric,YES,,NO,NO
ai_proposal,label,text,YES,,NO,NO
ai_proposal,status,text,NO,'pending'::text,NO,NO
ai_proposal,created_entity_type,text,YES,,NO,NO
ai_proposal,created_entity_id,uuid,YES,,NO,NO
ai_proposal,reviewed_by,uuid,YES,,NO,NO
ai_proposal,reviewed_at,timestamp with time zone,YES,,NO,NO
ai_proposal,created_at,timestamp with time zone,NO,now(),NO,NO
ai_usage,id,bigint,NO,,YES,NO
ai_usage,org_id,uuid,NO,,NO,YES
ai_usage,user_id,uuid,YES,,NO,NO
ai_usage,used_on,date,NO,CURRENT_DATE,NO,NO
ai_usage,provider,text,NO,,NO,NO
ai_usage,tokens,integer,NO,0,NO,NO
ai_usage,capture_id,uuid,YES,,NO,NO
ai_usage,at,timestamp with time zone,NO,now(),NO,NO
archive_item,id,uuid,NO,gen_random_uuid(),YES,NO
archive_item,org_id,uuid,NO,,NO,YES
archive_item,title,text,NO,,NO,NO
archive_item,description,text,YES,,NO,NO
archive_item,doc_date,date,YES,,NO,NO
archive_item,tags,text[],NO,'{}'::text[],NO,NO
archive_item,file_object_id,uuid,YES,,NO,YES
archive_item,created_by,uuid,YES,,NO,NO
archive_item,created_at,timestamp with time zone,NO,now(),NO,NO
archive_item,archived_at,timestamp with time zone,YES,,NO,NO
audit_log,id,bigint,NO,,YES,NO
audit_log,org_id,uuid,NO,,NO,NO
audit_log,actor_user_id,uuid,YES,,NO,NO
audit_log,action,text,NO,,NO,NO
audit_log,entity,text,NO,,NO,NO
audit_log,entity_id,uuid,YES,,NO,NO
audit_log,detail_json,jsonb,YES,,NO,NO
