child_table,fk_column,parent_table,parent_column,on_delete
ai_capture,file_object_id,file_object,id,NO ACTION
ai_capture,org_id,org,id,NO ACTION
ai_proposal,capture_id,ai_capture,id,NO ACTION
ai_proposal,org_id,org,id,NO ACTION
ai_usage,org_id,org,id,NO ACTION
archive_item,file_object_id,file_object,id,NO ACTION
archive_item,org_id,org,id,NO ACTION
auth_refresh_token,org_id,org,id,NO ACTION
auth_refresh_token,user_id,user_account,id,NO ACTION
channel,controller_party_id,party,id,NO ACTION
channel,party_id,party,id,NO ACTION
charge,deal_term_id,deal_term,id,NO ACTION
charge,org_id,org,id,NO ACTION
charge,party_id,party,id,NO ACTION
charge,reverses_charge_id,charge,id,NO ACTION
charge,work_item_id,work_item,id,NO ACTION
check_batch,channel_id,check_channel,id,NO ACTION
check_batch,customer_party_id,party,id,NO ACTION
check_batch,org_id,org,id,NO ACTION
check_batch,tool_account_id,check_tool_account,id,NO ACTION
check_batch,work_item_id,work_item,id,NO ACTION
check_channel,employee_party_id,party,id,NO ACTION
check_channel,org_id,org,id,NO ACTION
check_credit_topup,org_id,org,id,NO ACTION
check_credit_topup,tool_account_id,check_tool_account,id,NO ACTION
check_file,batch_id,check_batch,id,NO ACTION
check_file,file_object_id,file_object,id,NO ACTION
check_file,org_id,org,id,NO ACTION
check_tool_account,org_id,org,id,NO ACTION
check_tool_account,vault_item_id,credential_vault_item,id,NO ACTION
client_account,org_id,org,id,NO ACTION
client_account,party_id,party,id,NO ACTION
client_message,created_by_client_account_id,client_account,id,NO ACTION
client_message,org_id,org,id,NO ACTION
client_message,party_id,party,id,NO ACTION
client_refresh_token,client_account_id,client_account,id,NO ACTION
comp_rule,org_id,org,id,NO ACTION
comp_rule,party_id,party,id,NO ACTION
comp_rule,role_id,role,id,NO ACTION
cover_sheet_template,file_object_id,file_object,id,NO ACTION
cover_sheet_template,org_id,org,id,NO ACTION
cover_sheet_template,programme_ref_id,ref_entity,id,NO ACTION
cover_sheet_template,university_ref_id,ref_entity,id,NO ACTION
credential_share,credential_id,credential_vault_item,id,NO ACTION
credential_share,org_id,org,id,NO ACTION
credential_share,party_id,party,id,NO ACTION
credential_vault_item,client_party_id,party,id,NO ACTION
credential_vault_item,org_id,org,id,NO ACTION
custom_field_def,org_id,org,id,NO ACTION
deal_term,from_party_id,party,id,NO ACTION
deal_term,org_id,org,id,NO ACTION
deal_term,to_party_id,party,id,NO ACTION
expense,ai_capture_id,ai_capture,id,NO ACTION
expense,import_batch_id,import_batch,id,NO ACTION
expense,org_id,org,id,NO ACTION
expense,payee_party_id,party,id,NO ACTION
expense,receipt_file_id,file_object,id,NO ACTION
file_object,org_id,org,id,NO ACTION
import_batch,org_id,org,id,NO ACTION
import_row,batch_id,import_batch,id,NO ACTION
import_row,org_id,org,id,NO ACTION
invoice,client_party_id,party,id,NO ACTION
invoice,org_id,org,id,NO ACTION
invoice,supersedes_invoice_id,invoice,id,NO ACTION
invoice_line,invoice_id,invoice,id,NO ACTION
invoice_line,org_id,org,id,NO ACTION
invoice_line,work_line_id,work_line,id,NO ACTION
knowledge_article,org_id,org,id,NO ACTION
knowledge_article,programme_ref_id,ref_entity,id,NO ACTION
knowledge_article,university_ref_id,ref_entity,id,NO ACTION
knowledge_attachment,article_id,knowledge_article,id,NO ACTION
knowledge_attachment,file_object_id,file_object,id,NO ACTION
knowledge_attachment,org_id,org,id,NO ACTION
leg,deal_term_id,deal_term,id,NO ACTION
leg,from_party_id,party,id,NO ACTION
leg,org_id,org,id,NO ACTION
leg,to_party_id,party,id,NO ACTION
leg,work_item_id,work_item,id,NO ACTION
leg,work_line_id,work_line,id,NO ACTION
milestone,org_id,org,id,NO ACTION
milestone,project_id,project,id,NO ACTION
milestone_template,org_id,org,id,NO ACTION
milestone_template,scope_ref_id,ref_entity,id,NO ACTION
milestone_template_item,org_id,org,id,NO ACTION
milestone_template_item,template_id,milestone_template,id,NO ACTION
party,ai_capture_id,ai_capture,id,NO ACTION
party,import_batch_id,import_batch,id,NO ACTION
